page_name,prob_lang
Ziad Al-Karbouly,1
École Polytechnique massacre,1
Émile Durkheim,1
Ödön Beniczky,1
1174,1
1190,1
1657 in England,1
1999 Air Botswana incident,1
2002 in Ireland,1
2005 in Iraq,1
2006 in Afghanistan,1
2008 in Iraq,1
2009 French riots,1
2010 Chechen Parliament attack,1
2010 Stockholm bombings,1
2014 in Pakistan,1
"209th Detachment, 2325th Group",1
21 July 2005 London bombings trial,1
224 BC,1
300 (comics),1
449 BC,1
91 BC,1
A. R. Ramesh,1
A Matter of Chance,1
Aaron Hernandez,1
Aarthi Agarwal,1
Abdul Rasul Sayyaf,1
Abe Tadaaki,1
Absurdism,1
Adam Firestorm,1
Afifi al-Akiti,1
Ahitophel,1
Ahmad Abousamra,1
Ahmed Yassin,1
Alcohol consumption in Russia,1
Aleppo offensive (July 2015),1
Aleppo offensive (June–July 2016),1
Aleppo offensive (October–November 2016),1
Alfred Biłyk,1
Alfred Stelzner,1
Alien 3 (soundtrack),1
Amendments to the Constitution of Ireland,1
American Highway Flower,1
Amma Ariyan,1
An Honorable Profession,1
Andrew of Carniola,1
Ankush,1
Antha Ezhu Naatkal,1
Anti-Bullying Day,1
Antoine Mizon,1
Appointment in Samarra,1
Arbuthnot & Co,1
Arizona Department of Corrections,1
Arrest and assassination of Ngo Dinh Diem,1
Arsala Jamal,1
Arthur Koestler,1
Atomised (film),1
Attawapiskat First Nation,1
August 2016 Quetta attacks,1
Awful Orphan,1
Baagyavathi,1
Batman: Assault on Arkham,1
Battle of Al-Tabqa airbase,1
Battle of Aquae Sextiae,1
Battle of Kōan,1
Battle of Saipan,1
Battle of Taierzhuang,1
Bavagaru Bagunnara?,1
Bella Darvi,1
Belongingness,1
Benjamin Haydon,1
Bermuda Conference,1
Bernard Kops,1
Bernhard Rust,1
Bertie Ahern,1
Bertrand Cantat,1
Bezubaan,1
Bhimavaram Bullodu,1
Bibbo Bibbowski,1
Birgit Hogefeld,1
Black Sunday (novel),1
Blasphemous Rumours / Somebody,1
Bob Jackson (musician),1
Bobby Mackey's Music World,1
Body of Evidence (novel),1
Boko Haram,1
Brendan Comiskey,1
Brodie's Law (act),1
Brussels ISIL terror cell,1
Bullying,1
Bullying in the military,1
Bumboo,1
Byakkotai,1
Calculon 2.0,1
Carel Willink,1
Charge (warfare),1
Charles H. Voorhis,1
Charles Murphy (hedge fund manager),1
Checked baggage,1
Checkmate (comics),1
Chester Nimitz Jr.,1
China Gate (1998 film),1
Chris Benoit,1
Clara Bloodgood,1
Cleomenes I,1
Cleveland Elementary School shooting (Stockton),1
Click (2010 film),1
Confessions of a Sorority Girl,1
Connie Culp,1
Cony Guppy,1
Crime in Kuwait,1
Crime in Qatar,1
Crime statistics,1
